"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
469,Jarrad,3,Boy,1980
469,Jarret,3,Boy,1980
469,Jayme,3,Boy,1980
469,Jean-Paul,3,Boy,1980
469,Jeffry,3,Boy,1980
469,Jerad,3,Boy,1980
469,Jeremey,3,Boy,1980
469,Jermaine,3,Boy,1980
469,Jerrad,3,Boy,1980
469,Jerrett,3,Boy,1980
469,Jess,3,Boy,1980
469,Johnny,3,Boy,1980
469,Jordy,3,Boy,1980
469,Juan,3,Boy,1980
469,Julian,3,Boy,1980
469,Khaled,3,Boy,1980
469,Kieran,3,Boy,1980
469,Kristen,3,Boy,1980
469,Kristjan,3,Boy,1980
469,Kristofor,3,Boy,1980
469,Kylie,3,Boy,1980
469,Lanny,3,Boy,1980
469,Lars,3,Boy,1980
469,Lindsey,3,Boy,1980
469,Long,3,Boy,1980
469,Lonnie,3,Boy,1980
469,Lonny,3,Boy,1980
469,Marko,3,Boy,1980
469,Marlin,3,Boy,1980
469,Maurice,3,Boy,1980
469,Maury,3,Boy,1980
469,Maxwell,3,Boy,1980
469,Merle,3,Boy,1980
469,Mikhael,3,Boy,1980
469,Milan,3,Boy,1980
469,Niall,3,Boy,1980
469,Nick,3,Boy,1980
469,Nikolas,3,Boy,1980
469,Noah,3,Boy,1980
469,Oscar,3,Boy,1980
469,Pasquale,3,Boy,1980
469,Quang,3,Boy,1980
469,Ralph,3,Boy,1980
469,Ramon,3,Boy,1980
469,Real,3,Boy,1980
469,Reginald,3,Boy,1980
469,Roland,3,Boy,1980
469,Ronny,3,Boy,1980
469,Scot,3,Boy,1980
469,Sebastian,3,Boy,1980
469,Stephan,3,Boy,1980
469,Sterling,3,Boy,1980
469,Sylvain,3,Boy,1980
469,Ted,3,Boy,1980
469,Tex,3,Boy,1980
469,Tod,3,Boy,1980
469,Tomas,3,Boy,1980
469,Ty,3,Boy,1980
469,Tyrell,3,Boy,1980
469,Wallace,3,Boy,1980
469,Winston,3,Boy,1980
469,Ziad,3,Boy,1980
579,Alaric,2,Boy,1980
579,Aleksandar,2,Boy,1980
579,Alexandre,2,Boy,1980
579,Alexis,2,Boy,1980
579,Amardeep,2,Boy,1980
579,Angelo,2,Boy,1980
579,Anson,2,Boy,1980
579,Aric,2,Boy,1980
579,Arlen,2,Boy,1980
579,Arlo,2,Boy,1980
579,Armin,2,Boy,1980
579,Aron,2,Boy,1980
579,Arvind,2,Boy,1980
579,Asad,2,Boy,1980
579,Aubrey,2,Boy,1980
579,Axel,2,Boy,1980
579,Ayaz,2,Boy,1980
579,Balraj,2,Boy,1980
579,Barrett,2,Boy,1980
579,Barrie,2,Boy,1980
579,Bart,2,Boy,1980
579,Benton,2,Boy,1980
579,Bernhard,2,Boy,1980
579,Bilal,2,Boy,1980
579,Bill,2,Boy,1980
579,Billy-Joe,2,Boy,1980
579,Blayne,2,Boy,1980
579,Blue,2,Boy,1980
579,Bo,2,Boy,1980
579,Bradford,2,Boy,1980
579,Brandan,2,Boy,1980
579,Branden,2,Boy,1980
579,Brayton,2,Boy,1980
579,Brodie,2,Boy,1980
579,Brody,2,Boy,1980
579,Bruno,2,Boy,1980
579,Bryant,2,Boy,1980
579,Bryn,2,Boy,1980
579,Bryon,2,Boy,1980
579,Buckley,2,Boy,1980
579,Buddy,2,Boy,1980
579,Caley,2,Boy,1980
579,Carlo,2,Boy,1980
579,Carlton,2,Boy,1980
579,Carmen,2,Boy,1980
579,Cassius,2,Boy,1980
579,Cecil,2,Boy,1980
579,Chase,2,Boy,1980
579,Chevy,2,Boy,1980
579,Christopher-John,2,Boy,1980
579,Claude,2,Boy,1980
579,Clay,2,Boy,1980
579,Conan,2,Boy,1980
579,Cordel,2,Boy,1980
579,Coty,2,Boy,1980
579,Curt,2,Boy,1980
579,Dalen,2,Boy,1980
579,Dallan,2,Boy,1980
579,Damian,2,Boy,1980
579,Daniele,2,Boy,1980
579,Danniel,2,Boy,1980
579,Danyal,2,Boy,1980
579,Darek,2,Boy,1980
579,Darian,2,Boy,1980
579,Darwin,2,Boy,1980
579,Daryn,2,Boy,1980
579,Dave,2,Boy,1980
579,Dawson,2,Boy,1980
579,Dayton,2,Boy,1980
579,Delbert,2,Boy,1980
579,Delmer,2,Boy,1980
579,Denny,2,Boy,1980
579,Devan,2,Boy,1980
579,Devron,2,Boy,1980
579,Dillin,2,Boy,1980
579,Dimitrios,2,Boy,1980
579,Dolan,2,Boy,1980
579,Donavan,2,Boy,1980
579,Doran,2,Boy,1980
579,Dragan,2,Boy,1980
579,Ean,2,Boy,1980
579,Edmond,2,Boy,1980
579,Elden,2,Boy,1980
579,Emile,2,Boy,1980
579,Erich,2,Boy,1980
579,Erick,2,Boy,1980
579,Ezekiel,2,Boy,1980
579,Fabien,2,Boy,1980
579,Fayaz,2,Boy,1980
579,Ferlin,2,Boy,1980
579,Fernando,2,Boy,1980
579,Forrest,2,Boy,1980
579,Foster,2,Boy,1980
579,Francesco,2,Boy,1980
579,Franco,2,Boy,1980
579,Franklin,2,Boy,1980
579,Fred,2,Boy,1980
579,Gautam,2,Boy,1980
579,Gerad,2,Boy,1980
579,Gerrit,2,Boy,1980
579,Gianni,2,Boy,1980
579,Gideon,2,Boy,1980
579,Graydon,2,Boy,1980
579,Gregorio,2,Boy,1980
579,Hans,2,Boy,1980
579,Hardy,2,Boy,1980
579,Harrison,2,Boy,1980
579,Heinrich,2,Boy,1980
579,Hendrik,2,Boy,1980
579,Herbert,2,Boy,1980
579,Horace,2,Boy,1980
579,Hudson,2,Boy,1980
579,Hugo,2,Boy,1980
579,Ira,2,Boy,1980
579,Irfan,2,Boy,1980
579,Irvin,2,Boy,1980
579,Ivor,2,Boy,1980
579,J.,2,Boy,1980
579,Jacky,2,Boy,1980
579,Jaden,2,Boy,1980
579,Jamal,2,Boy,1980
579,Jamey,2,Boy,1980
579,Jaroslaw,2,Boy,1980
579,Jarrid,2,Boy,1980
579,Jarvis,2,Boy,1980
579,Javier,2,Boy,1980
579,Jaymie,2,Boy,1980
579,Jedediah,2,Boy,1980
579,Jenson,2,Boy,1980
579,Jerald,2,Boy,1980
579,Jeromy,2,Boy,1980
579,Jerrid,2,Boy,1980
579,Jevon,2,Boy,1980
579,Johannes,2,Boy,1980
579,Jorden,2,Boy,1980
579,Josh,2,Boy,1980
579,Jovan,2,Boy,1980
579,Jozsef,2,Boy,1980
579,Jules,2,Boy,1980
579,Junior,2,Boy,1980
579,Kale,2,Boy,1980
579,Kalvin,2,Boy,1980
579,Kameron,2,Boy,1980
579,Kari,2,Boy,1980
579,Karim,2,Boy,1980
579,Keenan,2,Boy,1980
579,Kevan,2,Boy,1980
579,Khalil,2,Boy,1980
579,Kody,2,Boy,1980
579,Konstantine,2,Boy,1980
579,Korey,2,Boy,1980
579,Kosmas,2,Boy,1980
579,Lange,2,Boy,1980
579,Laurence,2,Boy,1980
579,Leighton,2,Boy,1980
579,Lenard,2,Boy,1980
579,Leroy,2,Boy,1980
579,Lesley,2,Boy,1980
579,Lester,2,Boy,1980
579,Levon,2,Boy,1980
579,Louie,2,Boy,1980
579,Luca,2,Boy,1980
579,Luigi,2,Boy,1980
579,Luis,2,Boy,1980
579,Lynden,2,Boy,1980
579,Makoto,2,Boy,1980
579,Manoj,2,Boy,1980
579,Manuel,2,Boy,1980
579,Marcelo,2,Boy,1980
579,Marlon,2,Boy,1980
579,Marshal,2,Boy,1980
579,Matt,2,Boy,1980
579,Merlin,2,Boy,1980
579,Micah,2,Boy,1980
579,Michael-John,2,Boy,1980
579,Miguel,2,Boy,1980
579,Minh,2,Boy,1980
579,Mitch,2,Boy,1980
579,Montgomery,2,Boy,1980
579,Morris,2,Boy,1980
579,Moshe,2,Boy,1980
579,Mouhamed,2,Boy,1980
579,Nabil,2,Boy,1980
579,Najeb,2,Boy,1980
579,Nam,2,Boy,1980
579,Nathanial,2,Boy,1980
579,Nels,2,Boy,1980
579,Newton,2,Boy,1980
579,Olivier,2,Boy,1980
579,Omer,2,Boy,1980
579,Orion,2,Boy,1980
579,Otis,2,Boy,1980
579,Paolo,2,Boy,1980
579,Parmvir,2,Boy,1980
579,Pedro,2,Boy,1980
579,Pierre,2,Boy,1980
579,Quincy,2,Boy,1980
579,Rajeev,2,Boy,1980
579,Reese,2,Boy,1980
579,Remi,2,Boy,1980
579,Rex,2,Boy,1980
579,Rhett,2,Boy,1980
579,Rick,2,Boy,1980
579,Riel,2,Boy,1980
579,Rishi,2,Boy,1980
579,Ritchie,2,Boy,1980
579,Rodrigo,2,Boy,1980
579,Rolando,2,Boy,1980
579,Roman,2,Boy,1980
579,Roneel,2,Boy,1980
579,Ronnie,2,Boy,1980
579,Rowan,2,Boy,1980
579,Royce,2,Boy,1980
579,Ruban,2,Boy,1980
579,Ruben,2,Boy,1980
579,Rueben,2,Boy,1980
579,Russel,2,Boy,1980
579,Rylan,2,Boy,1980
579,Sacha,2,Boy,1980
579,Salah,2,Boy,1980
579,Salvatore,2,Boy,1980
579,Sam,2,Boy,1980
579,Samson,2,Boy,1980
579,Sandeep,2,Boy,1980
579,Sarmad,2,Boy,1980
579,Scotty,2,Boy,1980
579,Seamus,2,Boy,1980
579,Sebastien,2,Boy,1980
579,Shain,2,Boy,1980
579,Shea,2,Boy,1980
579,Silas,2,Boy,1980
579,Simeon,2,Boy,1980
579,Stefano,2,Boy,1980
579,Stephane,2,Boy,1980
579,Stirling,2,Boy,1980
579,Tait,2,Boy,1980
579,Taras,2,Boy,1980
579,Tariq,2,Boy,1980
579,Theodor,2,Boy,1980
579,Tim,2,Boy,1980
579,Timmy,2,Boy,1980
579,Tom,2,Boy,1980
579,Tomislav,2,Boy,1980
579,Vaughn,2,Boy,1980
579,Vijay,2,Boy,1980
579,Vincenzo,2,Boy,1980
579,Wally,2,Boy,1980
579,Wendell,2,Boy,1980
579,Wesam,2,Boy,1980
579,Wilfred,2,Boy,1980
579,Will,2,Boy,1980
579,Youssef,2,Boy,1980
579,Yvon,2,Boy,1980
579,Zachariah,2,Boy,1980
579,Zaher,2,Boy,1980
579,Zane,2,Boy,1980
835,Aaren,1,Boy,1980
835,Aaronn,1,Boy,1980
835,Aarron-David,1,Boy,1980
835,Abbas,1,Boy,1980
835,Abdelkarim,1,Boy,1980
835,Abdo,1,Boy,1980
835,Abdulrahman,1,Boy,1980
835,Abid,1,Boy,1980
835,Abraham,1,Boy,1980
835,Abram,1,Boy,1980
835,Adamo,1,Boy,1980
835,Adedayo,1,Boy,1980
835,Adeeb,1,Boy,1980
835,Adeel,1,Boy,1980
835,Adesh,1,Boy,1980
835,Adolphus,1,Boy,1980
835,Adon,1,Boy,1980
835,Adriaan,1,Boy,1980
835,Adriano,1,Boy,1980
835,Adris,1,Boy,1980
835,Adriyel,1,Boy,1980
835,Aedan,1,Boy,1980
835,Aidan,1,Boy,1980
835,Aiden,1,Boy,1980
835,Airion,1,Boy,1980
835,Ajay,1,Boy,1980
835,Ajit,1,Boy,1980
835,Ajmal,1,Boy,1980
